"","ID","Timepoint","L2_SE"
"309","User #25300","Timepoint 57",1.81932075945955
"310","User #25300","Timepoint 58",1.48607838104942
"311","User #25300","Timepoint 59",1.48198936045385
"312","User #25300","Timepoint 6",0
"313","User #25300","Timepoint 60",1.86175672976781
"314","User #25300","Timepoint 61",1.37619315525428
"315","User #25300","Timepoint 62",1.87890832232183
"316","User #25300","Timepoint 63",1.64090116894918
"317","User #25300","Timepoint 64",1.84893127871167
"318","User #25300","Timepoint 7",0
"319","User #25300","Timepoint 8",0
"320","User #25300","Timepoint 9",0
"321","User #25301","Timepoint 1",0
"322","User #25301","Timepoint 10",0
"323","User #25301","Timepoint 11",0
"324","User #25301","Timepoint 12",0
"325","User #25301","Timepoint 13",0
"326","User #25301","Timepoint 14",0
"327","User #25301","Timepoint 15",0
"328","User #25301","Timepoint 16",0
"329","User #25301","Timepoint 17",1.43779268594644
"330","User #25301","Timepoint 18",2.68839712172896
"331","User #25301","Timepoint 19",1.62894813528775
"332","User #25301","Timepoint 2",0
"333","User #25301","Timepoint 20",1.44143797504326
"334","User #25301","Timepoint 21",1.41178183584156
"335","User #25301","Timepoint 22",1.39360913432077
"336","User #25301","Timepoint 23",1.5381553071664
"337","User #25301","Timepoint 24",1.52486449830358
"338","User #25301","Timepoint 25",1.39423994509401
"339","User #25301","Timepoint 26",1.27920980799008
"340","User #25301","Timepoint 27",1.35247336810132
"341","User #25301","Timepoint 28",1.60947258906601
"342","User #25301","Timepoint 29",1.58091307067535
"343","User #25301","Timepoint 3",0
"344","User #25301","Timepoint 30",1.42280491642109
"345","User #25301","Timepoint 31",1.87709590358419
"346","User #25301","Timepoint 32",1.83883969914415
"347","User #25301","Timepoint 33",2.21037276023253
"348","User #25301","Timepoint 34",1.85052716612832
"349","User #25301","Timepoint 35",2.62653349917823
"350","User #25301","Timepoint 36",1.58932799804034
"351","User #25301","Timepoint 37",1.91965455067858
"352","User #25301","Timepoint 38",1.66145957494605
"353","User #25301","Timepoint 39",1.50922756504901
"354","User #25301","Timepoint 4",0
"355","User #25301","Timepoint 40",1.62675693772596
"356","User #25301","Timepoint 41",1.60828522974345
"357","User #25301","Timepoint 42",2.08410572332874
"358","User #25301","Timepoint 43",1.77348447665311
"359","User #25301","Timepoint 44",1.26451949094544
"360","User #25301","Timepoint 45",1.52106894284057
"361","User #25301","Timepoint 46",1.21893662963843
"362","User #25301","Timepoint 47",1.63310102586318
"363","User #25301","Timepoint 48",1.28701255885138
"364","User #25301","Timepoint 49",1.28551640092811
"365","User #25301","Timepoint 5",0
"366","User #25301","Timepoint 50",1.92065773742131
"367","User #25301","Timepoint 51",1.34482453173177
"368","User #25301","Timepoint 52",2.27066359331509
"369","User #25301","Timepoint 53",2.2986025603402
"370","User #25301","Timepoint 54",1.60992943347942
"371","User #25301","Timepoint 55",1.52510849263212
"372","User #25301","Timepoint 56",1.92367012148767
"373","User #25301","Timepoint 57",1.31025417176327
"374","User #25301","Timepoint 58",1.93114127241781
"375","User #25301","Timepoint 59",1.41859781760755
"376","User #25301","Timepoint 6",0
"377","User #25301","Timepoint 60",2.35584431514195
"378","User #25301","Timepoint 61",1.29161186300091
"379","User #25301","Timepoint 62",2.36586351919586
"380","User #25301","Timepoint 63",2.08614953522929
"381","User #25301","Timepoint 64",1.55305627930563
"382","User #25301","Timepoint 7",0
"383","User #25301","Timepoint 8",0
"384","User #25301","Timepoint 9",0
"385","User #25303","Timepoint 1",0
"386","User #25303","Timepoint 10",0
"387","User #25303","Timepoint 11",0
"388","User #25303","Timepoint 12",0
"389","User #25303","Timepoint 13",0
"390","User #25303","Timepoint 14",0
"391","User #25303","Timepoint 15",0
"392","User #25303","Timepoint 16",0
"393","User #25303","Timepoint 17",1.49787318375034
"394","User #25303","Timepoint 18",1.75058541720577
"395","User #25303","Timepoint 19",1.67359158709686
"396","User #25303","Timepoint 2",0
"397","User #25303","Timepoint 20",1.48796428160268
"398","User #25303","Timepoint 21",2.15055087647475
"399","User #25303","Timepoint 22",1.45573864036096
"400","User #25303","Timepoint 23",1.56263916039001
"401","User #25303","Timepoint 24",1.52753190773386
"402","User #25303","Timepoint 25",2.26799126024021
"403","User #25303","Timepoint 26",2.18007534431559
"404","User #25303","Timepoint 27",1.56845314605893
"405","User #25303","Timepoint 28",2.83282290334266
